,Id,AcceptedAnswerId,AnswerCount,Body,ClosedDate,CommentCount,CommunityOwnedDate,CreationDate,FavoriteCount,LastActivityDate,LastEditDate,LastEditorDisplayName,LastEditorUserId,OwnerUserId,ParentId,PostTypeId,Score,Tags,Title,ViewCount,Topic
31,129,0,5,"<p>I've been banging my head against <code>SQL Server 2005</code> trying to get a lot of data out.  I've been given a database with nearly 300 tables in it and I need to turn this into a MySQL database.  My first call was to use bcp but unfortunately it doesn't produce valid CSV - strings aren't encapsulated, so you can't deal with any row that has a string with a comma in it (or whatever you use as a delimiter) and I would still have to hand write all of the create table statements, as obviously CSV doesn't tell you anything about the data types.</p>

<p>What would be better is if there was some tool that could connect to both SQL Server and MySQL, then do a copy. You lose views, stored procedures, trigger, etc, but it isn't hard to copy a table that only uses base types from one DB to another... is it?</p>

<p>Does anybody know of such a tool?  I don't mind how many assumptions it makes or what simplifications occur, as long as it supports integer, float, datetime and string. I have to do a lot of pruning, normalising, etc. anyway so I don't care about keeping keys, relationships or anything like that, but I need the initial set of data in fast!</p>
",30:16.9,5,,22:42.4,22,25:12.2,25:12.2,Mark Harrison,4800955,48,0,1,82,<mysql><sql-server><csv><sql-server-2005><bcp>,How to export data from SQL Server 2005 to MySQL,93930,0
32,134,206,2,"<p>I have a pretty standard table set-up in a current application using the <a href=""https://en.wikipedia.org/wiki/.NET_Framework"" rel=""nofollow noreferrer"">.NET</a> <a href=""https://en.wikipedia.org/wiki/XML_Schema_%28W3C%29"" rel=""nofollow noreferrer"">XSD</a> <code>DataSet</code> and <code>TableAdapter</code> features. My <code>contracts</code> table consists of some standard contract information, with a column for the <code>primary department</code>. This column is a <a href=""https://en.wikipedia.org/wiki/Foreign_key"" rel=""nofollow noreferrer"">foreign key</a> to my <code>Departments</code> table, where I store the basic <code>department name</code>, <code>id</code>, <code>notes</code>. This is all setup and functioning in my <a href=""https://en.wikipedia.org/wiki/Microsoft_SQL_Server"" rel=""nofollow noreferrer"">SQL Server</a>.</p>

<p>When I use the XSD tool, I can drag both tables in at once and it auto detects/creates the foreign key I have between these two tables. This works great when I'm on my main page and am viewing contract data.</p>

<p>However, when I go to my administrative page to modify the department data. I typically do something like this:</p>

<pre><code>Dim dtDepartment As New DepartmentDataTable()
Dim taDepartment As New DepartmentTableAdapter()

taDepartment.Fill(dtDepartment)
</code></pre>

<p>However, at this point an exception is thrown saying to the effect that there is a foreign key reference broken here, I'm guessing since I don't have the <code>Contract</code> <code>DataTable</code> filled.</p>

<p>How can I fix this problem? I know I can simply remove the foreign key from the XSD to make things work fine, but having the additional integrity check there and having the XSD schema match the SQL schema in the database is nice.</p>
",,0,,33:38.2,0,21:43.5,40:23.4,Jim Anderson,6296561,71,0,1,28,<.net><database><xsd>,XSD DataSets and ignoring foreign keys,785,0
33,145,0,9,"<p>Does anyone know of a good way to compress or decompress files and folders in C# quickly? Handling large files might be necessary.</p>
",,0,02:49.8,13:08.9,2,35:19.9,22:50.5,kevin d,481248,87,0,1,44,<c#><.net><compression><decompression>,Compressing / Decompressing Folders & Files,2879,0
34,146,152,8,"<p>I have a website that plays mp3s in a flash player. If a user clicks 'play' the flash player automatically downloads an mp3 and starts playing it. </p>

<p>Is there an easy way to track how many times a particular song clip (or any binary file) has been downloaded?</p>

<hr>

<blockquote>
  <p>Is the play link a link to the actual
  mp3 file or to some javascript code
  that pops up a player?</p>
  
  <p>If the latter, you can easily add your
  own logging code in there to track the
  number of hits to it.</p>
  
  <p>If the former, you'll need something
  that can track the web server log
  itself and make that distinction. My
  hosting plan comes with webalizer,
  which does this nicely.</p>
</blockquote>

<p>It's javascript code, so that answers that. </p>

<p>However, it would be nice to know how to track downloads using the other method (without switching hosts).</p>
",,0,,14:58.3,9,10:46.3,33:06.1,,3001352,30,0,1,69,<php><apache><logging><download><analytics>,How do I track file downloads,16473,0
35,163,170,7,"<p>Stack Overflow has a subversion version number at the bottom:</p>

<blockquote>
  <p>svn revision: 679</p>
</blockquote>

<p>I want to use such automatic versioning with my <code>.NET Web Site/Application</code>, Windows Forms, WPD projects/solutions.</p>

<p>How do I implement this?</p>
",,3,,00:13.8,16,29:47.3,27:21.6,ChanChan,3787519,83,0,1,87,<.net><asp.net><svn><versioning>,How do I sync the SVN revision number with my ASP.NET web site?,7796,0
36,164,699,9,"<p>We are using <a href=""http://en.wikipedia.org/wiki/Windows_Media_Video"" rel=""noreferrer"">WMV</a> videos on an internal site, and we are embedding them into web sites. This works quite well on Internet Explorer, but not on Firefox. I've found ways to make it work in Firefox, but then it stops working in Internet Explorer.</p>

<p>We do not want to use Silverlight just yet, especially since we cannot be sure that all clients will be running Windows XP with Windows Media Player installed. </p>

<p>Is there some sort of Universal Code that embeds WMP into both Internet Explorer and Firefox, or do we need to implement some user-agent-detection and deliver different HTML for different browsers?</p>
",,1,,02:22.8,12,55:48.4,55:48.4,Adam Mitz,1836618,91,0,1,55,<windows><embed><media>,Embedding Windows Media Player for all browsers,167688,0
37,173,516,29,"<p>I want to get my databases under version control.  Does anyone have any advice or recommended articles to get me started?</p>

<p>I'll always want to have at least <em>some</em> data in there (as <a href=""https://stackoverflow.com/users/80/alumb"">alumb</a> mentions: user types and administrators).  I'll also often want a large collection of generated test data for performance measurements.</p>
",,2,,33:08.3,198,39:01.7,55:26.9,user5857081,1836618,83,0,1,292,<sql-server><database><svn><version-control>,Versioning SQL Server database,84418,0
38,174,0,6,"<p>I want to print HTML from a C# web service.  The web browser control is overkill, and does not function well in a service environment, nor does it function well on a system with very tight security constraints.  Is there any sort of free <code>.NET</code> library that will support the printing of a basic HTML page?  Here is the code I have so far, which does not run properly.</p>

<pre><code>public void PrintThing(string document)
{
    if (Thread.CurrentThread.GetApartmentState() != ApartmentState.STA)
    {
        Thread thread =
            new Thread((ThreadStart) delegate { PrintDocument(document); });
        thread.SetApartmentState(ApartmentState.STA);
        thread.Start();
    }
    else
    {
        PrintDocument(document);
    }
}

protected void PrintDocument(string document)
{
    WebBrowser browser = new WebBrowser();
    browser.DocumentText = document;
    while (browser.ReadyState != WebBrowserReadyState.Complete)
    {
        Application.DoEvents();
    }
    browser.Print();
}
</code></pre>

<p>This works fine when called from UI-type threads, but nothing happens when called from a service-type thread.  Changing <code>Print()</code> to <code>ShowPrintPreviewDialog()</code> yields the following IE script error:</p>

<blockquote>
  <p>Error: 'dialogArguments.___IE_PrintType' is null or not an object<br />
  URL: res://ieframe.dll/preview.dlg</p>
</blockquote>

<p>And a small empty print preview dialog appears.</p>
",,2,,33:48.3,7,49:24.4,49:24.4,Chris Marasti-Georg,2384186,96,0,1,69,<c#><html><web-services><printing>,How do I print an HTML document from a web service?,13656,0
39,175,0,3,"<p>I want to be able to display a normal YouTube video with overlaid annotations, consisting of coloured rectangles for each frame. The only requirement is that this should be done programmatically. </p>

<p>YouTube has annotations now, but require you to use their front end to create them by hand. I want to be able to generate them. What's the best way of doing this?</p>

<p>Some ideas:</p>

<blockquote>
  <ol>
  <li>Build your own Flash player (ew?)</li>
  <li>Somehow draw over the YouTube Flash player. Will this work?</li>
  <li>Reverse engineer &amp; hijack YouTube's annotation system. Either messing with the local files or redirecting its attempt to download
  the annotations. (using Greasemonkey? Firefox plugin?)</li>
  </ol>
</blockquote>

<p>Idea that doesn't count: </p>

<blockquote>
  <p>download the video</p>
</blockquote>
",,0,,36:14.1,2,52:49.4,54:47.0,,1836618,2089740,0,1,42,<youtube><reverse-engineering>,Annotating YouTube videos programmatically,6660,0
40,176,207,11,"<p>On one Linux Server running Apache and PHP 5, we have multiple Virtual Hosts with separate log files. We cannot seem to separate the php <code>error_log</code> between virtual hosts.</p>

<p>Overriding this setting in the <code>&lt;Location&gt;</code> of the <code>httpd.conf</code> does not seem to do anything.</p>

<p>Is there a way to have separate php <code>error_logs</code> for each Virtual Host?</p>
",,0,,37:40.1,19,14:38.1,47:19.7,,3919949,91,0,1,100,<linux><apache><virtualhost>,error_log per Virtual Host?,84979,0
41,180,539,8,"<p>This is something I've pseudo-solved many times and have never quite found a solution for.</p>

<p>The problem is to come up with a way to generate <code>N</code> colors, that are as distinguishable as possible where <code>N</code> is a parameter.</p>
",55:30.0,1,,42:19.3,22,55:59.8,53:46.5,,5321363,2089740,0,1,65,<algorithm><language-agnostic><colors><color-space>,Function for creating color wheels,15204,0
42,192,258,4,"<p>One of the fun parts of multi-cultural programming is number formats.</p>

<ul>
<li>Americans use 10,000.50</li>
<li>Germans use 10.000,50</li>
<li>French use 10 000,50</li>
</ul>

<p>My first approach would be to take the string, parse it backwards, until I encounter a separator and use this as my decimal separator. There is an obvious flaw with that: 10.000 would be interpreted as 10.</p>

<p>Another approach: if the string contains 2 different non-numeric characters, use the last one as the decimal separator and discard the others. If I only have one, check if it occurs more than once and discard it if it does. If it only appears once, check if it has 3 digits after it. If yes, discard it, otherwise use it as decimal separator.</p>

<p>The obvious ""best solution"" would be to detect the User's culture or Browser, but that does not work if you have a Frenchman using an en-US Windows/Browser.</p>

<p>Does the .net Framework contain some mythical black magic floating point parser that is better than <code>Double.(Try)Parse()</code> in trying to auto-detect the number format?</p>
",,0,,23:13.1,0,26:51.3,26:51.3,Michael Stum,1039608,91,0,1,56,<c#><.net><asp.net><internationalization><globalization>,Floating Point Number parsing: Is there a Catch All algorithm?,2422,0
43,194,197,4,"<p>Yes, I know.  The existence of a running copy of <code>SQL Server 6.5</code> in 2008 is absurd.</p>

<p>That stipulated, what is the best way to migrate from <code>6.5</code> to <code>2005</code>?  Is there any direct path?  Most of the documentation I've found deals with upgrading <code>6.5</code> to <code>7</code>.</p>

<p>Should I forget about the native <code>SQL Server</code> upgrade utilities, script out all of the objects and data, and try to recreate from scratch?</p>

<p>I was going to attempt the upgrade this weekend, but server issues pushed it back till next.  So, any ideas would be welcomed during the course of the week.</p>

<p><em>Update.  This is how I ended up doing it:</em></p>

<ul>
<li>Back up the database in question and Master on <code>6.5</code>.</li>
<li>Execute <code>SQL Server 2000</code>'s <code>instcat.sql</code> against <code>6.5</code>'s Master.  This allows <code>SQL Server 2000</code>'s OLEDB provider to connect to <code>6.5</code>.</li>
<li>Use <code>SQL Server 2000</code>'s standalone <code>""Import and Export Data""</code> to create a DTS package, using <code>OLEDB</code> to connect to 6.5.  This successfully copied all <code>6.5</code>'s tables to a new <code>2005</code> database (also using <code>OLEDB</code>).</li>
<li>Use <code>6.5</code>'s Enterprise Manager to script out all of the database's indexes and triggers to a .sql file.</li>
<li>Execute that .sql file against the new copy of the database, in 2005's Management Studio.</li>
<li>Use 6.5's Enterprise Manager to script out all of the stored procedures.</li>
<li>Execute that <code>.sql</code> file against the <code>2005</code> database.  Several dozen sprocs had issues making them incompatible with <code>2005</code>.  Mainly <code>non-ANSI joins</code> and <code>quoted identifier issues</code>.</li>
<li>Corrected all of those issues and re-executed the <code>.sql</code> file.</li>
<li>Recreated the <code>6.5</code>'s logins in <code>2005</code> and gave them appropriate permissions.</li>
</ul>

<p>There was a bit of rinse/repeat when correcting the stored procedures (there were hundreds of them to correct), but the upgrade went great otherwise.</p>

<p>Being able to use Management Studio instead of <code>Query Analyzer</code> and <code>Enterprise Manager 6.5</code> is such an amazing difference.  A few report queries that took 20-30 seconds on the <code>6.5 database</code> are now running in 1-2 seconds, without any modification, new indexes, or anything.  I didn't expect that kind of immediate improvement.</p>
",,0,,26:37.9,2,38:49.3,35:46.9,Nigel Campbell,165216,60,0,1,31,<sql-server><migration>,Upgrading SQL Server 6.5,3558,0
44,227,2943318,8,"<p>I have the following arrays:</p>

<pre><code>$artist = array(""the roots"", ""michael jackson"", ""billy idol"", ""more"", ""and more"", ""and_YET_MORE"");
$count = array(5, 3, 9, 1, 1, 3);
</code></pre>

<p>I want to generate a tag cloud that will have artists with a higher number in <code>$count</code> enclosed in <code>h6</code> tags and the lowest enclosed <code>h1</code> tags.</p>
",,0,,40:55.8,10,00:43.7,11:23.5,Adam Bellaire,500729,146637,0,1,69,<php><arrays><cloud><tag-cloud>,What's the best way to generate a tag cloud from an array using h1 through h6 for sizing?,5585,0
45,231,1812,3,"<p>How do I make it so <code>mailto:</code> links will be registered with my program?</p>

<p>How would I then handle that event in my program?</p>

<p>Most of the solutions I found from a quick Google search are how to do this manually, but I need to do this automatically for users of my program if they click a button, such as ""set as default email client"".</p>

<p><strong>Edit</strong>: Removed reference to Delphi, because the answer is independent of your language.</p>
",,0,,08:14.5,5,24:23.0,28:48.9,Adam Mitz,1039608,62,0,1,33,<windows><mailto>,Register Windows program with the mailto protocol programmatically,25740,0
46,234,12202,4,"<p>MySQL has this incredibly useful yet properitary <code>REPLACE INTO</code> SQL Command. </p>

<p>Can this easily be emulated in SQL Server 2005?</p>

<p>Starting a new Transaction, doing a <code>Select()</code> and then either <code>UPDATE</code> or <code>INSERT</code> and <code>COMMIT</code> is always a little bit of a pain, especially when doing it in the application and therefore always keeping 2 versions of the statement.</p>

<p>I wonder if there is an easy and <strong>universal</strong> way to implement such a function into SQL Server 2005?</p>
",,0,,13:34.1,15,08:28.3,08:28.3,user1873471,1836618,91,0,1,75,<mysql><sql-server><sql-server-2005>,SQL Server 2005 implementation of MySQL REPLACE INTO?,36009,0
47,246,176741,3,"<p>Does anybody know if there is a way to create a SQLite database based on an XSD <code>DataSet</code>? In the past I've just used a basic SQLite manager, but want to fuse things a bit more with my <code>.NET</code> development if possible.</p>
",,0,,34:42.9,0,08:17.0,08:17.0,,1836618,71,0,1,32,<.net><database><sqlite>,Create a SQLite database based on an XSD Data Set,2064,0
48,260,307,9,"<p>I have a little game written in C#. It uses a database as back-end. It's 
a <a href=""http://en.wikipedia.org/wiki/Collectible_card_game"" rel=""noreferrer"">trading card game</a>, and I wanted to implement the function of the cards as a script.</p>

<p>What I mean is that I essentially have an interface, <code>ICard</code>, which a card class implements (<code>public class Card056 : ICard</code>) and which contains function that are called by the game.</p>

<p>Now, to make the thing maintainable/moddable, I would like to have the class for each card as source code in the database and essentially compile it on first use. So when I have to add/change a card, I'll just add it to the database and tell my application to refresh, without needing any assembly deployment (especially since we would be talking about 1 assembly per card which means hundreds of assemblies).</p>

<p>Is that possible? Register a class from a source file and then instantiate it, etc.</p>

<pre><code>ICard Cards[current] = new MyGame.CardLibrary.Card056();
Cards[current].OnEnterPlay(ref currentGameState);
</code></pre>

<p>The language is C# but extra bonus if it's possible to write the script in any .NET language.</p>
",,3,,22:09.0,18,08:07.8,07:46.8,eed3si9n,1836618,91,0,1,63,<c#><.net><scripting><compiler-construction>,Adding scripting functionality to .NET applications,15982,0
49,263,607,3,"<p>I have been trying to implement Win32's <code>MessageBox</code> using GTK. The app using SDL/OpenGL, so this isn't a GTK app. </p>

<p>I handle the initialisation (<code>gtk_init</code>) sort of stuff inside the <code>MessageBox</code> function as follows:</p>

<pre><code>int MessageBox(HWND hwnd, const char* text, const char* caption, UINT type)
{
    GtkWidget *window = NULL;
    GtkWidget *dialog = NULL;

    gtk_init(&amp;gtkArgc, &amp;gtkArgv);
    window = gtk_window_new(GTK_WINDOW_TOPLEVEL);
    g_signal_connect(G_OBJECT(window), ""delete_event"", G_CALLBACK(delete_event), NULL);
    g_signal_connect(G_OBJECT(window), ""destroy"", G_CALLBACK(destroy), NULL);
    // gcallback calls gtk_main_quit()
    gtk_init_add((GtkFunction)gcallback, NULL);

    if (type &amp; MB_YESNO) {
        dialog = gtk_message_dialog_new(GTK_WINDOW(window), GTK_DIALOG_DESTROY_WITH_PARENT, GTK_MESSAGE_QUESTION, GTK_BUTTONS_YES_NO, text);
    } else {
        dialog = gtk_message_dialog_new(GTK_WINDOW(window), GTK_DIALOG_DESTROY_WITH_PARENT, GTK_MESSAGE_INFO, GTK_BUTTONS_OK, text);
    }

    gtk_window_set_title(GTK_WINDOW(dialog), caption);
    gint result = gtk_dialog_run(GTK_DIALOG(dialog));

    gtk_main();

    gtk_widget_destroy(dialog);

    if (type &amp; MB_YESNO) {
        switch (result) {
        default:
        case GTK_RESPONSE_DELETE_EVENT:
        case GTK_RESPONSE_NO:
            return IDNO;
            break;
        case GTK_RESPONSE_YES:
            return IDYES;
            break;
        }
    }

    return IDOK;
} 
</code></pre>

<p>Now, I am by no means an experienced GTK programmer, and I realise that I'm probably doing something horribly wrong.</p>

<p>However, my problem is that the last dialog popped up with this function stays around until the process exits. Any ideas?</p>
",,0,,27:25.0,2,07:35.7,07:35.7,Bernard,1836618,61,0,1,29,<c><linux><gtk><x11>,GTK implementation of MessageBox,7825,0
50,264,0,5,"<ul>
<li>What's the optimal level of concurrency that the C++ implementation of BerkeleyDB can reasonably support?</li>
<li>How many threads can I have hammering away at the DB before throughput starts to suffer because of resource contention?</li>
</ul>

<p>I've read the manual and know how to set the number of locks, lockers, database page size, etc. but I'd just like some advice from someone who has real-world experience with BDB concurrency.</p>

<p>My application is pretty simple, I'll be doing gets and puts of records that are about 1KB each. No cursors, no deleting.</p>
",,0,,28:51.6,1,07:21.7,07:21.7,Michał Piaskowski,1836618,104,0,1,26,<c++><berkeley-db>,BerkeleyDB Concurrency,1996,0
51,265,266,5,"<p>What are the best practices for checking in BIN directories in a collaborative development environment using SVN?  Should project level references be excluded from checkin?  Is it easier to just add all bin directories?</p>

<p>I develop a lot of DotNetNuke sites and it seems that in a multi-developer environment, it's always a huge task to get the environment setup correctly.</p>

<p>The ultimate goal (of course) is to have a new developer checkout the trunk from SVN, restore the DNN database and have it all just 'work'...</p>
",,0,,29:32.9,3,41:49.3,41:49.3,Gulzar,4337,105,0,1,27,<svn><collaboration>,"Best Practice: Collaborative Environment, Bin Directory, SVN",2396,0
52,289,298,17,"<p>I often have to sort a dictionary, consisting of keys &amp; values, by value. For example, I have a hash of words and respective frequencies, that I want to order by frequency.</p>

<p>There is a <code>SortedList</code> which is good for a single value (say frequency), that I want to map it back to the word.</p>

<p><a href=""http://msdn.microsoft.com/en-us/library/f7fta44c.aspx"" rel=""noreferrer"">SortedDictionary</a> orders by key, not value. Some resort to a <a href=""http://www.codeproject.com/KB/recipes/lookupcollection.aspx"" rel=""noreferrer"">custom class</a>, but is there a cleaner way?</p>
",,1,,40:58.2,141,04:12.5,50:20.4,kurious,3302711,109,0,1,688,<c#><sorting><dictionary>,How do you sort a dictionary by value?,495376,0
53,308,360,22,"<p>I often run into the following problem.</p>

<p>I work on some changes to a project that require new tables or columns in the database. I make the database modifications and continue my work. Usually, I remember to write down the changes so that they can be replicated on the live system. However, I don't always remember what I've changed and I don't always remember to write it down.</p>

<p>So, I make a push to the live system and get a big, obvious error that there is no <code>NewColumnX</code>, ugh.</p>

<p>Regardless of the fact that this may not be the best practice for this situation, is there a version control system for databases? I don't care about the specific database technology. I just want to know if one exists. If it happens to work with MS SQL Server, then great.</p>
",,2,,52:54.7,38,50:35.6,32:25.5,Ryan Fox,116,106,0,1,110,<sql><database><oracle><version-control>,Is there a version control system for database structure changes?,27112,0
54,328,7488,13,"<p>What are some guidelines for maintaining responsible session security with PHP?  There's information all over the web and it's about time it all landed in one place!</p>
",,0,,41:34.5,181,21:23.4,39:26.5,,1039608,59,0,1,125,<security><php>,PHP Session Security,74011,0
55,330,332,10,"<p>I am working on a collection of classes used for video playback and recording. I have one main class which acts like the public interface, with methods like <code>play()</code>, <code>stop()</code>, <code>pause()</code>, <code>record()</code> etc... Then I have workhorse classes which do the video decoding and video encoding. </p>

<p>I just learned about the existence of nested classes in C++, and I'm curious to know what programmers think about using them. I am a little wary and not really sure what the benefits/drawbacks are, but they seem (according to the book I'm reading) to be used in cases such as mine.</p>

<p>The book suggests that in a scenario like mine, a good solution would be to nest the workhorse classes inside the interface class, so there are no separate files for classes the client is not meant to use, and to avoid any possible naming conflicts? I don't know about these justifications. Nested classes are a new concept to me. Just want to see what programmers think about the issue.</p>
",,0,,51:36.5,0,24:09.2,53:51.3,Jason Etheridge,204623,63,0,1,44,<c++><oop><class><nested-class>,Should I use nested classes in this case?,3890,0
56,336,339,5,"<p>When is it appropriate to use an unsigned variable over a signed one? What about in a <code>for</code> loop?</p>

<p>I hear a lot of opinions about this and I wanted to see if there was anything resembling a consensus. </p>

<pre><code>for (unsigned int i = 0; i &lt; someThing.length(); i++) {  
    SomeThing var = someThing.at(i);  
    // You get the idea.  
}
</code></pre>

<p>I know Java doesn't have unsigned values, and that must have been a concious decision on <a href=""https://en.wikipedia.org/wiki/Sun_Microsystems"" rel=""noreferrer"">Sun Microsystems</a>' part. </p>
",,2,,34:44.8,10,23:36.8,23:23.5,Jim Anderson,63550,61,0,1,69,<language-agnostic><types>,When to use unsigned values over signed ones?,16472,0
57,337,342,15,"<p>I am about to build a piece of a project that will need to construct and post an XML document to a web service and I'd like to do it in Python, as a means to expand my skills in it.  </p>

<p>Unfortunately, whilst I know the XML model fairly well in .NET, I'm uncertain what the pros and cons are of the XML models in Python.  </p>

<p>Anyone have experience doing XML processing in Python? Where would you suggest I start? The XML files I'll be building will be fairly simple.</p>
",51:47.2,1,,35:55.7,8,47:24.5,56:21.5,,2336654,111,0,1,65,<python><xml>,XML Processing in Python,7245,0
58,361,362,35,"<p>How would I go about generating a list of all possible permutations of a string between x and y characters in length, containing a variable list of characters.</p>

<p>Any language would work, but it should be portable.</p>
",,1,28:19.9,57:58.0,88,26:14.2,36:29.0,chills42,321731,115,0,1,147,<string><language-agnostic><cross-platform>,Generate list of all possible permutations of a string,195692,0
59,371,396,21,"<p>This is a tricky one and I've always relied on techniques, such as permission-based emails (i.e. only sending to people you have permission to send to) and not using blatantly <em>spamish</em> terminology.</p>

<p>Of late, some of the emails I send out programmatically have started being shuffled into people's spam folder automatically and I'm wondering what I can do about it.</p>

<p>This is despite the fact that these particular emails are not ones that humans would mark as spam, specifically, they are emails that contain license keys that people have paid good money for, so I don't think they're going to consider them spam</p>

<p>I figure this is a big topic in which I am essentially an ignorant simpleton.</p>
",,0,,19:18.3,305,16:07.2,47:31.8,dbr,1039608,49,0,1,411,<email><email-spam>,How do you make sure email you send programmatically is not automatically marked as spam?,95622,0
60,382,384,1,"<p>What is the meaning of the <em>Java warning</em>?</p>

<blockquote>
  <p>Type safety: The cast from Object to List is actually checking against the erased type List</p>
</blockquote>

<p>I get this warning when I try to cast an Object to a type with generic information, such as in the following code:</p>

<pre><code>Object object = getMyList();
List&lt;Integer&gt; list = (List&lt;Integer&gt;) object;
</code></pre>
",,1,,58:27.5,8,32:32.9,32:00.8,,3787519,122,0,1,63,<java><generics><warnings><casting><type-safety>,What is the meaning of the type safety warning in certain Java generics casts?,8193,0
61,387,0,3,"<p>In Lucene if you had multiple indexes that covered only one partition each. Why does the same search on different indexes return results with different scores? The results from different servers match exactly. </p>

<p>i.e. if I searched for :</p>

<ul>
<li>Name - John Smith</li>
<li>DOB - 11/11/1934</li>
</ul>

<p><strong>Partition 0</strong> would return a score of 0.345</p>

<p><strong>Partition 1</strong> would return a score of 0.337</p>

<p>Both match exactly on name and DOB.</p>
",,0,,28:17.7,0,38:13.8,04:01.2,Stephen Hendry,1997093,134,0,1,39,<search><lucene>,Lucene Score results,3418,0
62,402,2530953,8,"<p>Note: this question is from 2008 and now is of only historic interest.</p>

<hr>

<p>What's the best way to create an iPhone application that runs in landscape mode from the start, regardless of the position of the device?</p>

<p>Both programmatically and using the Interface Builder.</p>
",,1,,47:08.5,33,03:13.0,19:59.3,,1000551,136,0,1,92,<ios><objective-c><landscape>,"iPhone app in landscape mode, 2008 systems",66784,0
63,419,17396,1,"<p>Part of my everyday work is maintaining and extending legacy VB6 applications. A common engine is written in C/C++ and VB6 uses these functions in order to improve performance. </p>

<p>When it comes to asynchronous programming, a C interface is not enough and we rely on COM controls to fire events to VB6.</p>

<p>My problem is that when I register the control in VB6, VB loads this control in memory and does not unload it until I quit the VB6 IDE. As the control is loaded the whole time, I am unable to recompile it in VC6, because the DLL file is locked.</p>

<p>A solution I found is not to enable the control in VB but use the <code>CreateObject()</code> with the full name of my control. The problem then is that I must declare my control as an Object because VB6 knows nothing of the interface I am using and I do not have access to IntelliSense, which is a pain.</p>

<p>Any idea how I can tell VB6 to unload controls after quitting the application or directly in the IDE ?</p>
",,0,,52:01.5,1,39:28.6,56:15.0,Joel Spolsky,1997093,268,0,1,33,<com><vb6>,Unload a COM control when working in VB6 IDE,2341,0
64,427,0,3,"<p>Is there any way to launch IE Mobile's ""Favorites"" screen directly by
specifying any command line parameter?</p>
",,0,,12:02.4,0,55:28.6,55:28.6,Chris,1997093,123,0,1,24,<internet-explorer><windows-mobile><pocketpc>,Programmatically launch IE Mobile favorites screen,944,0
65,438,77397,8,"<p>My Rails-app has a sign in box with a ""remember me"" checkbox. Users who check that box should remain logged in even after closing their browser. I'm keeping track of whether users are logged in by storing their id in the user's session. </p>

<p>But sessions are implemented in Rails as session cookies, which are not persistent. I can <em>make</em> them persistent:</p>

<pre><code>class ApplicationController &lt; ActionController::Base
  before_filter :update_session_expiration_date

  private

  def update_session_expiration_date
    options = ActionController::Base.session_options
    unless options[:session_expires]
      options[:session_expires] = 1.year.from_now
    end
  end
end
</code></pre>

<p>But that seems like a hack, which is surprising for such common functionality. Is there any better way?</p>

<p><strong>Edit</strong></p>

<p>Gareth's answer is pretty good, but I would still like an answer from someone familiar with Rails 2 (because of it's unique <code>CookieSessionStore</code>).</p>
",,0,,56:58.6,10,54:37.0,54:37.0,Stu Thompson,1997093,136,0,1,48,<ruby-on-rails><ruby><http>,"Implementation of ""Remember me"" in a Rails application",9938,0
66,469,3040,4,"<p>I am using the Photoshop's javascript API to find the fonts in a given PSD.</p>

<p>Given a font name returned by the API, I want to find the actual physical font file that font name corresponds to on the disc.</p>

<p>This is all happening in a python program running on OSX so I guess I'm looking for one of:</p>

<ul>
<li>Some Photoshop javascript</li>
<li>A Python function</li>
<li>An OSX API that I can call from python</li>
</ul>
",,0,,11:16.4,0,53:45.5,53:45.5,Ash,1997093,147,0,1,37,<python><macos><fonts><photoshop>,How can I find the full path to a font from its display name on a Mac?,2446,0
67,470,473,1,"<p>I've been writing a few web services for a <code>.net</code> app, now I'm ready to consume them. I've seen numerous examples where there is homegrown code for consuming the service as opposed to using the auto generated methods that Visual Studio creates when adding the web reference. </p>

<p>Is there some advantages to this?</p>
",23:29.1,0,,11:47.5,1,52:58.2,52:58.2,user1873471,1997093,71,0,1,19,<.net><web-services>,Homegrown consumption of web services,387,0
68,482,509,3,"<p>Assume you are doing something like the following</p>

<pre><code>List&lt;string&gt; myitems = new List&lt;string&gt;
{
    ""Item 1"",
    ""Item 2"",
    ""Item 3""
};

ComboBox box = new ComboBox();
box.DataSource = myitems;

ComboBox box2 = new ComboBox();
box2.DataSource = myitems
</code></pre>

<p>So now we have 2 combo boxes bound to that array, and everything works fine. But when you change the value of one combo box, it changes BOTH combo boxes to the one you just selected.</p>

<p>Now, I know that Arrays are always passed by reference (learned that when i learned C :D), but why on earth would the combo boxes change together? I don't believe the combo box control is modifying the collection at all. </p>

<p>As a work around, don't this would achieve the funcionality that is expected / desired</p>

<pre><code>ComboBox box = new ComboBox();
box.DataSource = myitems.ToArray();
</code></pre>
",,0,,09:56.8,4,10:45.6,10:45.6,Darren Kopp,2912665,77,0,1,45,<c#><winforms><data-binding>,WinForms ComboBox data binding gotcha,19104,0
69,502,7090,3,"<p>I have a cross-platform (Python) application which needs to generate a JPEG preview of the first page of a PDF.</p>

<p>On the Mac I am spawning <a href=""http://developer.apple.com/documentation/Darwin/Reference/ManPages/man1/sips.1.html"" rel=""noreferrer"">sips</a>.  Is there something similarly simple I can do on Windows?</p>
",,0,,01:58.5,13,53:13.5,42:03.8,Adam Mitz,63550,147,0,1,40,<python><windows><image><pdf>,Get a preview JPEG of a PDF on Windows?,12792,0
